               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.048395,            0.029015,                   0,             0.81672,             0.64286,             0.82714,             0.44147,            0.024097,           0.0089977,                   0,           0.0083829,           0.0083829,           0.0083829
                  84,            0.041786,            0.019321,                   0,             0.81672,             0.64286,             0.82714,             0.44147,            0.024097,           0.0089977,                   0,           0.0083631,           0.0083631,           0.0083631
                  85,            0.043831,            0.019156,                   0,                   1,             0.77048,             0.93936,             0.53468,            0.021964,           0.0089676,                   0,           0.0083434,           0.0083434,           0.0083434
                  86,            0.050762,            0.024853,                   0,             0.91122,             0.73434,             0.91483,             0.56588,             0.02123,           0.0093791,                   0,           0.0083237,           0.0083237,           0.0083237
                  87,            0.045719,            0.024425,                   0,             0.91122,             0.73434,             0.91483,             0.56588,             0.02123,           0.0093791,                   0,            0.008304,            0.008304,            0.008304
                  88,            0.054941,            0.025972,                   0,             0.81046,             0.91693,             0.90037,             0.58364,            0.024423,           0.0089643,                   0,           0.0082843,           0.0082843,           0.0082843
                  89,            0.042948,            0.030392,                   0,             0.81046,             0.91693,             0.90037,             0.58364,            0.024423,           0.0089643,                   0,           0.0082645,           0.0082645,           0.0082645
                  90,            0.038391,            0.022539,                   0,             0.90182,             0.78571,              0.9078,              0.5499,            0.026581,           0.0088468,                   0,           0.0082448,           0.0082448,           0.0082448
                  91,            0.039147,            0.019467,                   0,             0.92166,             0.84135,             0.91454,             0.47931,            0.023308,           0.0087824,                   0,           0.0082251,           0.0082251,           0.0082251
                  92,            0.052437,            0.024419,                   0,             0.92166,             0.84135,             0.91454,             0.47931,            0.023308,           0.0087824,                   0,           0.0082054,           0.0082054,           0.0082054
                  93,             0.04797,             0.02791,                   0,             0.90514,             0.78571,             0.87732,             0.52391,            0.022237,           0.0090773,                   0,           0.0081857,           0.0081857,           0.0081857
                  94,            0.044516,            0.033407,                   0,             0.77073,             0.78571,             0.87731,             0.44165,             0.02489,           0.0085785,                   0,           0.0081659,           0.0081659,           0.0081659
                  95,            0.050287,            0.023055,                   0,             0.77073,             0.78571,             0.87731,             0.44165,             0.02489,           0.0085785,                   0,           0.0081462,           0.0081462,           0.0081462
